O,O3,NO,NO2,NO3,O1D,N2O5,OH,HO2,H2,CO,H2O2,HONO,HNO3,HO2NO2,SO2,SO3,HSO3,NA,SA,CL,CH4,CH3O2,CH3OOH,HCHO,CH3NO3,CH3O,CH3O2NO2,CH3OH,t
1.407169639891966e-5,725.9229520412908,3249.3478317374474,361051.17776345595,0.455231200091056,1.1527557789766916e-9,28.024473539649705,0.21685336437529046,1.3534844170597138,1.531808979628172e14,4.3293291331785293e12,5.810544860616947e11,3.0459635942026996e6,166666.6622135756,20.5163047793627,1.056672413499624e12,0.002231915084774399,4.636301533453915e-7,Inf,Inf,0.19344734333002842,9.389504898902258e12,1.0890389854925564,4.676461558863248e8,1.1522963534753845e11,4.257280357648763e13,0.00010536218704365816,0.8347239460940202,1.1042800275991387e12,-540.0
1.409874191344639e-5,658.8801029485331,21068.50143573523,441962.49950292637,0.4179316393052158,1.1530123113818243e-9,27.60456633000813,0.19448832533931884,1.252858121937633,2.3960275988646106e14,6.792867804710887e12,9.113508025519564e11,3.0165277446833737e6,166666.66383186355,20.209069966432327,1.5913016013588245e12,0.0022246070964489807,4.636098396651722e-7,Inf,Inf,0.20444143674867335,2.4255338078359772e14,1.1161463455625507,4.718264738304591e8,1.1955264697512613e11,6.670890129612337e13,0.00010524681843450658,0.8230194107292127,1.7315509256481924e12,-525.0
1.4132714549866075e-5,754.2501124172107,12688.728407263874,431177.6242577212,0.4785947161443268,1.153296116215018e-9,27.069986195784182,0.1994372873013448,1.432392665227669,3.668851794604541e14,1.0443046700534125e13,1.4004050687943193e12,3.0382446225802246e6,166666.6648255204,19.81772573554193,2.417128998272234e12,0.002215061694231114,4.635655864372831e-7,Inf,Inf,0.20406650329976675,3.8294983041464094e14,1.2435833229129645,4.808159349598833e8,2.0227730666136343e11,1.0237920218224428e14,NaN,0.808095919812934,2.65985207918117e12,-510.0
1.4155588373990296e-5,730.9588118329503,14287.15806984111,436425.4814747349,0.46441475791849135,1.1534212270403705e-9,26.727608115304083,0.19192777342430814,1.3898597061435158,4.373496597875814e14,1.2481298420768914e13,1.6732011090873538e12,3.1084863817506814e6,166666.66512769688,19.567295772282595,2.8321572746680903e12,0.002207126059744074,4.635485201895591e-7,Inf,Inf,0.20379365162894458,4.567213929480448e14,1.2027327595660318,4.815927994535324e8,2.3349158116415e11,1.222234630759829e14,0.0001049965776985909,0.7985353090322427,3.177290983046068e12,-495.0
1.4180847048935203e-5,716.8714637627226,12475.591797902944,430846.03412253887,0.45599756127941315,NaN,26.392742309203822,0.1895796570594019,1.364337558053271,3.937660403086831e14,1.1266983599094332e13,1.5098888532918076e12,3.0493746677751043e6,166666.66496343253,19.322989564412307,2.568495255432214e12,0.0022007505121075842,4.6357308866825504e-7,Inf,Inf,0.20356587147120928,4.114049292386262e14,1.1741822352826308,4.673052181105393e8,2.073263984601793e11,1.1020537758479934e14,0.0001049098934592533,0.7891975747746983,2.866550974577782e12,-480.0
1.41912345566783e-5,677.4883482555887,16171.44987000784,438426.8501272099,0.43179873290911563,NaN,26.244121921937744,0.18446092217486726,1.2934221564095765,5.1588022161863056e14,1.47782319131266e13,1.9801468718584297e12,3.067086939798197e6,166666.66536867453,19.214346921174847,3.277042804467858e12,0.0021953910200477877,4.6356886580695323e-7,Inf,Inf,0.20344605118694362,5.391051511283019e14,1.129018895891603,4.697157518674547e8,2.7798081356188104e11,1.4447716580107662e14,0.00010486768687136004,0.785044007654643,3.7589795511016704e12,-465.0
1.420532287458515e-5,663.896449478388,248056.66311932015,463604.88336054015,0.42383901651863987,1.153770453143257e-9,26.038327339536153,0.18287916474856372,1.2703999527990963,4.58679847272893e15,1.3160841539730288e14,1.7630876140852582e13,3.0521992354959343e6,166666.66652100423,19.063822663430006,1.5181233580003227e13,0.0021909320826234806,4.6355638570359937e-7,Inf,Inf,0.20325606054621095,4.794732547912965e15,1.1167040535559485,4.693693090035773e8,3.08835070570159e12,1.285755235994173e15,0.00010480740416856036,0.7792873482109937,3.3464761877436477e13,-450.0
1.422866792408369e-5,647.8269290259989,271488.8461382523,462151.52541350195,0.41438608873233407,1.1542097851387728e-9,25.790530902207248,0.1809559583843516,1.2429888068159043,6.035243929666924e15,1.7352284835243688e14,2.3238573363581234e13,3.043248043464561e6,166666.66655626206,18.884012601970873,1.7175062877448066e13,0.002187587474595354,4.63641446193711e-7,Inf,Inf,0.20307666555444787,6.311144811841698e15,1.1015187443872496,4.768618620936631e8,3.5828724571382153e12,1.6936704456825905e15,0.00010475663642719026,0.7723987250419614,4.410133626033252e13,-435.0
1.4234809476168725e-5,629.7088749142141,239560.95884602942,448449.5342475205,0.40292897785204745,1.1542173623214497e-9,25.72946706217676,0.17899075923752727,1.208625025784104,6.406443963835043e15,1.8428969914371678e14,2.4678447252839703e13,2.8601923194045713e6,166666.66656272887,18.839782800298945,1.6910654467050504e13,0.0021844637668633634,4.636682121259129e-7,Inf,Inf,NaN,6.699921174595711e15,1.0707097051444778,4.3163540769429964e8,3.6563097579224224e12,1.7983389221472485e15,0.0001047453243280353,0.7707031747109913,4.683196320696015e13,-420.0
1.4249875905850133e-5,625.9508878108633,210168.8253230716,469241.40796541405,0.40173915760697526,1.1544553728223614e-9,25.555064426912868,0.17847070740669255,1.2074352102445631,6.595852995991876e15,1.9001023303781e14,2.5439279456971492e13,3.0962880798534593e6,166666.66656590736,18.712871035561044,1.9138076482955535e13,0.002181764865511304,4.6370327181061144e-7,Inf,Inf,0.20277994288339404,6.89979649787622e15,1.0972759139021153,5.0955913506518126e8,3.7340066231968657e12,1.8529781875701515e15,0.00010470355108349167,0.7658400694255196,4.827013441976384e13,-405.0
1.42513820811292e-5,472.26713447659426,190367.59247721554,472650.23689405405,0.30279427263535225,NaN,25.558432350317904,0.16447289138112559,0.9093689238932164,9.252464802334068e15,2.6654001708492003e14,3.568467299579948e13,3.1591767909315373e6,166666.66659483543,18.715739389168455,1.7057041833932898e13,NaN,NaN,Inf,Inf,NaN,9.678782611707694e15,0.8187566397554302,5.184192960153539e8,4.543086645931975e12,2.5992652298189225e15,0.00010471099235258405,0.7659475896338739,6.77105489736099e13,-390.0
1.4263386101639086e-5,487.05311370103055,166877.82831617654,480979.16352654726,0.3123229279661701,1.1545761887906253e-9,25.39380219916379,0.16454296131876137,0.9375485071627414,7.589386473025362e15,2.1892166969678538e14,2.9304641120881934e13,3.268440903235946e6,166666.6665792542,18.595417114711353,1.6237615359903297e13,0.0021775939333363438,4.637283010543265e-7,Inf,Inf,0.20249511904682596,7.941029082485848e15,0.8376392238486874,5.481612981700503e8,3.7828884021637407e12,2.1336678303536032e15,0.00010466299028119897,0.7613381691844923,5.5598467346372164e13,-375.0
1.4268187338424404e-5,484.49632326539967,133162.36193959144,466936.2623041141,0.3118689962399683,1.1546111622812814e-9,25.339594939552807,0.16523890247356002,0.9378387748800022,3.8400999998766785e10,1.1082055374731908e9,2.5674887050593026e7,3.056367349073998e6,166454.76668896023,18.555978682302246,2.8222412224077487e8,0.0021759223152392304,4.637401129939675e-7,Inf,Inf,NaN,4.01835264663017e10,0.8580827383206677,2.3912453686409965e7,1.8475766595022246e7,9.424888151023886e7,0.00010465005294860094,0.7598260358609044,2.8141691370264596e8,-360.0
1.427506310502168e-5,472.46420203722124,123709.83560729209,469645.8141483706,0.30409367341859084,1.154661636368784e-9,25.25549154582985,0.1622571495965156,0.9143600632362404,3.2969936218747738e10,9.521315087396897e8,2.905227947030771e7,3.062939084912677e6,166486.05346478723,18.494668376441865,2.4250163520114514e8,0.0021736628647266534,4.63749308677856e-7,Inf,Inf,0.20216197007436532,3.450473020588248e10,0.8348706772738779,2.0698767456655465e7,1.690117919385967e7,1.145282499956154e8,0.00010462788004392308,0.7574754000597164,2.417470941858395e8,-345.0
1.4281548821709884e-5,362.57301715252925,129085.21826105226,455564.0134937822,0.2348422924999258,1.1546731754493622e-9,25.13930414358614,0.15554548772255986,0.7099262848494364,3.6595640806663345e10,1.0578093787593417e9,3.460340762057354e7,2.9656216342840376e6,166518.10773205015,18.409289264930038,2.694536060675349e8,0.0021715988139910858,4.637126832571853e-7,Inf,Inf,NaN,3.830592176712835e10,0.7002688529408718,2.2780499804010313e7,1.7598690595521934e7,1.4154698727410185e8,0.00010458611772860996,0.7542050298063684,2.6853318709505475e8,-330.0
1.4264259057938796e-5,443.46582091077516,129819.47759991222,448272.9702341523,0.2866498234485008,1.145304428908182e-9,25.312240206165054,0.1918640460299922,0.8656473576386338,3.89663681729361e10,1.124679097650585e9,4.3246436287456445e7,2.963598759027507e6,166551.3501177615,18.53465173470907,2.864269739403426e8,NaN,NaN,Inf,Inf,0.19908313577963574,4.077676533192534e10,0.8417548462743569,2.4111235955118533e7,1.7917756920120493e7,1.8951019497623184e8,0.00010462063406156666,0.759016392718985,2.8560892026888114e8,-315.0
1.4182125789740729e-5,735.0342106213735,93185.84864289376,437678.04555236286,0.46684900898552745,1.1409239868416172e-9,26.48571462944133,0.2309406180258452,1.3947390072934507,3.492239437899209e10,9.986331239248782e8,4.5682602919065736e7,2.9022391084987475e6,166561.5871802046,19.39277931358069,2.539846575565992e8,NaN,NaN,Inf,Inf,NaN,3.648192820993919e10,1.1785303643761107,2.148049428591279e7,1.6065428820640784e7,2.1818392603197423e8,NaN,0.7918545914733418,2.5408525550085616e8,-300.0
1.4083136349778543e-5,1250.0571194588917,84684.32006754693,419047.15505884186,0.7695980395664159,1.142865750522138e-9,27.984833834880956,0.258846300036974,2.2506464150880423,3.319141405219534e10,9.384729449362078e8,4.081815620918004e7,2.7514241862848895e6,166548.2906767651,20.489531477885667,2.3829586905044332e8,NaN,NaN,Inf,Inf,0.19629171133184253,3.4601032584729454e10,1.5072613146423237,2.0126655581267487e7,1.4777297723511297e7,1.8985393674567783e8,0.00010538398275197839,0.8336916405703774,2.3933375877697885e8,-285.0
1.3906339452198755e-5,1389.5931457118045,70811.463193474,422699.028267527,0.8361609983106668,1.1473400930154374e-9,30.89139324813727,0.2703189364101267,2.4221887469704853,3.755312186293287e10,1.0404563578985659e9,4.256801645053105e7,2.7784182133251657e6,166575.05313766075,22.617295865377564,2.63425185244427e8,NaN,NaN,Inf,Inf,NaN,3.9000838531345245e10,1.5027630790065079,2.2237487116009377e7,1.6040483397954958e7,2.5583558549866164e8,0.00010613850116671648,0.9144652625721952,2.664550256365972e8,-270.0
1.3770032808551879e-5,1431.099473765617,44546.36111419046,393440.04165698617,0.8549755889060298,1.148911948460239e-9,33.4209419189963,0.28797140076657146,2.474491218358563,3.1331153933147182e10,8.541634571954827e8,2.2401918116859384e7,2.333756831291527e6,166510.177376363,24.471804339597348,2.1576414483767554e8,0.002294029045456681,4.6402583711902295e-7,Inf,Inf,0.1963621884558827,3.244148351997308e10,1.5392011927610998,1.8250217855045352e7,1.325818347770443e7,1.3619511847604346e8,0.00010675474603692389,0.9844705269353137,2.19469558904544e8,-255.0
1.3672344659643735e-5,1590.4209392945866,30481.656385471342,362847.65126940707,0.9417756722552636,1.1487920202477574e-9,35.37950267195354,0.29918449766515376,2.7057899052629653,2.2384649188760727e10,6.0316536341842e8,9.415672534652589e6,1.5656676225387508e6,166409.47441179035,25.90906035803534,1.521101753313055e8,0.0023422976371145284,4.641276466589744e-7,Inf,Inf,NaN,2.312760176561417e10,1.5890195538065657,1.301013105985797e7,1.0142100600803256e7,7.969160052333185e7,0.00010720358541780054,1.0384950159487625,1.5534861314061457e8,-240.0
1.3649962989370926e-5,1822.6489704988858,21925.17386723053,391473.96225865115,1.0576640966371265,1.145989067776626e-9,35.817587778316394,0.3082666444500237,3.0137327697117327,2.7236803075203083e10,7.320416006439183e8,3.542911182124221e7,2.5706636521444507e6,166564.56611649244,26.230256564102415,1.8454484809950736e8,NaN,NaN,Inf,Inf,0.19666209261817752,2.8127571326044174e10,1.655363176587219,1.5824759688682456e7,1.2553422629883273e7,2.4523507286064866e8,0.00010729561307161189,1.0505448766379442,1.8864231826134872e8,-225.0
1.3642967753235298e-5,1922.4918123782707,9159.120446790157,360404.17446181213,1.112281539034578,1.1443831087901205e-9,35.87650063390887,0.3191681010452205,3.1567975358949627,2.367964964836177e10,6.361829454899423e8,2.14239981238597e7,1.9932900117435714e6,166541.012807176,26.27211130051338,1.603707732870973e8,0.002259868136141172,4.6405907408053146e-7,Inf,Inf,NaN,2.445252672549899e10,1.6816121317756356,1.3794575182256814e7,1.1176941359235e7,1.9394108254466164e8,0.00010729246804419515,1.0521225354162484,1.6396078135299808e8,-210.0
1.3655481642529186e-5,2065.3385464932962,6854.197640789173,345351.77349682455,1.1897989059305374,1.1430632714150515e-9,35.47742571939972,0.31874855700246063,3.3593377590067526,1.944242681944175e10,5.234968710836392e8,1.811157265905306e7,1.900991460072932e6,166534.88906185236,25.9769402401326,1.3200639527853023e8,0.0022273630327917567,4.6392850885046167e-7,Inf,Inf,NaN,2.0085555838819897e10,1.7190601468481688,1.141074409218128e7,9.71517463248105e6,1.9436266442852867e8,0.00010717877125121305,1.0410658658471228,1.348673093704527e8,-195.0
1.364896215744239e-5,2096.398536582087,5554.67318625339,340653.5856861606,1.2002958886108133,1.1429559719230744e-9,35.52801585852835,0.3275089528614747,3.3806564684456,2.0691692297892044e10,5.569381053923272e8,2.7386817642387398e7,2.402753303989599e6,166562.2969447621,26.01272605128142,1.4043249197274745e8,NaN,NaN,Inf,Inf,0.19578903644967185,2.1374964166237816e10,1.700053498086532,1.2127328401959904e7,1.0296003018903809e7,2.6747989004744047e8,0.0001071743188115191,1.042416428642476,1.43499209669689e8,-180.0
1.3635987914837695e-5,2007.369618438931,4802.83646036162,328826.05542632507,1.1536837135297062,1.1427969088348304e-9,35.679041926552316,0.32258116463896935,3.258658376043279,1.907245879602726e10,5.1286514802930015e8,2.3202471747186482e7,2.2090911042174175e6,166554.09860931584,26.121677268291393,1.2930273103257276e8,0.0022343413623416492,4.637733034464041e-7,Inf,Inf,NaN,1.9699046581885292e10,1.6742790747857283,1.1197640269526342e7,9.636718592264391e6,2.4368238420968342e8,0.00010718573298992293,1.0465145828681417,1.3217729476015116e8,-165.0
1.3636735787092187e-5,2000.5666223583344,3258.312646940841,304342.982543921,1.1505615845779182,1.1429416040267629e-9,35.514266538775296,0.3176999274129034,3.246329843397641,1.3909417888996342e10,3.7434642073118925e8,1.5419671990035359e7,1.9449151973623617e6,166526.33978722338,25.998359351566315,9.439158075255518e7,0.0022393982195691095,4.6364483462132874e-7,Inf,Inf,0.19549721763968214,1.4368902430499784e10,1.6546665684993622,8.244636878621037e6,7.69016938000235e6,2.0267718869586328e8,0.00010712169125728223,1.041903337199481,9.64683731566399e7,-150.0
1.3627674834408894e-5,1948.2428724075173,2268.6554233048055,280222.0885451637,1.117067707941473,1.142806177734451e-9,35.68386880399624,0.31919421775389134,3.1513728868428665,1.354125126170688e10,3.640764479446611e8,2.6007052357116967e7,2.288384524534013e6,166533.05740164546,26.122523642406343,9.178926029919197e7,NaN,NaN,Inf,Inf,0.19581932637958321,1.3986026489781479e10,1.6063456878362814,8.023907856852071e6,7.548725414986982e6,2.2370201378103352e8,0.00010715569938926539,1.0465627389317045,9.384178255187774e7,-135.0
1.3617545218754611e-5,1897.4142278999686,1708.6181750614492,254794.5486774711,1.0866074468250206,1.1424876442544648e-9,35.86819953177475,0.3110001011712959,3.061215571188089,1.1048428894620012e10,2.967331918633106e8,1.6918213406555302e7,1.9772869608138194e6,166514.00218138224,26.25736143944997,7.47997259334866e7,0.0022398066551544676,4.636240197141158e-7,Inf,Inf,0.19634972070844997,1.1409076840371372e10,1.5466410746373263,6.566039591084883e6,6.443021284189527e6,2.0289275384069e8,0.00010719119965612702,1.051621999915351,7.65018076168612e7,-120.0
1.3616944692915391e-5,1764.160560142127,1870.4405050665678,258828.25345573362,1.014934932908542,1.1426029046711384e-9,35.78419900087146,0.30732369861873193,2.866943402606352,9.82369272827419e9,2.639494634202675e8,1.496314337958661e7,1.9829426536283907e6,166491.22655890885,26.194169034177808,6.653986918732761e7,0.0022440866100546103,4.63542540089262e-7,Inf,Inf,0.19671633928479618,1.0145260925753069e10,1.4767189308745479,5.848650933757324e6,5.827215453859873e6,1.7287977890853086e8,0.00010715499630008224,1.0492618796149331,6.8047256004857e7,-105.0
1.3615833241504497e-5,1604.5637435727892,2061.658182365398,276344.56525287963,0.926372798977606,1.1422192308923723e-9,35.71334102910934,0.30122962194644215,2.6286233069465346,1.295994934580561e10,3.483357385984873e8,2.2071390870241124e7,2.1954208669926687e6,166538.7957460939,26.14067981481848,8.781756618206394e7,0.002237816136178731,4.63463500981962e-7,Inf,Inf,0.196911274275381,1.3385180194819666e10,1.4005268764476277,7.695084058063892e6,7.393587975867811e6,2.4913598587241113e8,0.00010712207506865903,1.0472645561630076,8.980036978168105e7,-90.0
1.3620723490798338e-5,1542.0980184475704,3212.991651618273,309620.927899007,0.8920875624583113,1.1422479753731195e-9,35.51905337626582,0.29341147390373296,2.5328680527678604,1.6307665058452688e10,4.3877880818612474e8,2.423500140407477e7,2.3546281001695455e6,166519.2190501102,25.996654791984074,1.1063547473590071e8,NaN,NaN,Inf,Inf,NaN,1.6846231587950401e10,1.354464229755305,9.629372282888273e6,8.697584178040646e6,1.7571364205991438e8,0.00010706210613494952,1.041870537347754,1.130972718853705e8,-75.0
1.362590164773929e-5,1396.8978428149976,3931.8074435530916,337541.5851918233,0.8098217762179833,1.1425351985329685e-9,35.38729467480836,0.2814423418839307,2.3059673217395407,2.394936136583783e10,6.448700381187936e8,4.491789873551406e7,2.6820500429324745e6,166576.49795718218,25.899608781480545,1.6261685117954773e8,0.002241460337681398,4.633539665216623e-7,Inf,Inf,0.19612451783376297,2.4743802708968754e10,1.2608667676496577,1.405013198052865e7,1.1841978321020687e7,3.0917806278624874e8,0.00010702839844271104,1.0382311361328551,1.6619487741996077e8,-60.0
1.3601848284320551e-5,1243.1154524443866,3052.80079459389,322441.3900258655,0.7235771553087736,1.1416750402598616e-9,35.8161088970827,0.27089276858655453,2.0680126517058306,2.360334821247003e10,6.339499212769499e8,3.546092596031346e7,2.525257811701725e6,166562.98360054402,26.213075988870838,1.59806539676256e8,0.002235928221598507,4.633157114204271e-7,Inf,Inf,NaN,2.437508049968607e10,1.1670713469679397,1.3818737903447455e7,1.1817731563921878e7,2.5070876033968952e8,0.00010710978226507328,1.0499972428271427,1.6347108566460544e8,-45.0
1.3607806840874837e-5,1247.9107968580327,2649.6118676381584,311468.6055334323,0.7260480483773619,1.1416879583568217e-9,35.59617982393425,0.27067479303285424,2.0732602052711613,2.3150109920696014e10,6.225232644072958e8,3.3799333872982696e7,2.59965852469717e6,166561.2999165271,26.050195148570854,1.5695313115001893e8,0.002234742875900357,4.632286260834392e-7,Inf,Inf,NaN,2.3912624323719185e10,1.1610526202484355,1.3573388703775765e7,1.1639877868226338e7,2.4760649281354746e8,0.00010704376888079811,1.0438972356428908,1.6049292068455192e8,-30.0
